Participant.Private.ID,condition,contrast,totAttempt,totCorrect,percCorrect
5297751,blur,12,1,1,1
5297751,blur,11,3,3,1
5297751,blur,10,4,3,0.75
5297751,blur,9,5,3,0.6
5297751,blur,8,5,5,1
5297751,blur,7,8,6,0.75
5297751,blur,6,7,5,0.7142857142857143
5297751,blur,5,5,2,0.4
5297751,blur,4,2,0,0
5297751,clear,10,1,1,1
5297751,clear,9,1,1,1
5297751,clear,8,1,1,1
5297751,clear,7,4,4,1
5297751,clear,6,7,7,1
5297751,clear,5,12,9,0.75
5297751,clear,4,9,6,0.6666666666666666
5297751,clear,3,5,0,0
5344588,blur,10,1,1,1
5344588,blur,9,1,1,1
5344588,blur,8,1,1,1
5344588,blur,7,1,1,1
5344588,blur,6,1,1,1
5344588,blur,5,5,5,1
5344588,blur,4,9,8,0.8888888888888888
5344588,blur,3,11,7,0.6363636363636364
5344588,blur,2,7,3,0.42857142857142855
5344588,blur,1,3,0,0
5344588,clear,10,1,1,1
5344588,clear,9,1,1,1
5344588,clear,8,1,1,1
5344588,clear,7,2,2,1
5344588,clear,6,2,2,1
5344588,clear,5,3,2,0.6666666666666666
5344588,clear,4,4,4,1
5344588,clear,3,10,9,0.9
5344588,clear,2,8,6,0.75
5344588,clear,1,8,2,0.25
5371387,blur,10,2,2,1
5371387,blur,9,3,3,1
5371387,blur,8,6,5,0.8333333333333334
5371387,blur,7,9,8,0.8888888888888888
5371387,blur,6,8,5,0.625
5371387,blur,5,5,1,0.2
5371387,blur,4,3,2,0.6666666666666666
5371387,blur,3,2,2,1
5371387,blur,2,2,0,0
5371387,clear,10,1,1,1
5371387,clear,9,1,1,1
5371387,clear,8,2,2,1
5371387,clear,7,4,4,1
5371387,clear,6,7,6,0.8571428571428571
5371387,clear,5,11,9,0.8181818181818182
5371387,clear,4,9,6,0.6666666666666666
5371387,clear,3,5,0,0
5372697,blur,10,1,1,1
5372697,blur,9,1,1,1
5372697,blur,8,1,1,1
5372697,blur,7,4,4,1
5372697,blur,6,6,6,1
5372697,blur,5,11,8,0.7272727272727273
5372697,blur,4,9,7,0.7777777777777778
5372697,blur,3,6,1,0.16666666666666666
