"","id","condition","CS","age","resID"
"1","5297751","0",1.42365864979421,21,"2"
"2","5297751","1",1.27164621797877,21,"2"
"3","5344588","0",1.81815641205523,23,"3"
"4","5344588","1",1.61978875828839,23,"3"
"5","5371387","0",1.42365864979421,20,"2"
"6","5371387","1",1.60032627851896,20,"2"
"7","5372697","0",1.4672456210075,52,"2"
"8","5372697","1",1.44855000202712,52,"2"
"9","5384559","0",1.81815641205523,33,"3"
"10","5384559","1",1.83564714421556,33,"3"
"11","5387392","0",1.82102305270683,20,"1"
"12","5387392","1",1.68824613894425,20,"1"
"13","5389013","0",1.80410034759077,56,"1"
"14","5389013","1",1.82102305270683,56,"1"
"15","5410148","0",1.39147396642281,57,"1"
"16","5410148","1",1.07007043991541,57,"1"
"17","5410422","0",1.80410034759077,23,"1"
"18","5410422","1",1.61978875828839,23,"1"
"19","5418541","0",1.89962945488244,21,"3"
"20","5418541","1",1.80134291304558,21,"3"
"21","5496748","0",1.4145392704915,62,"2"
"22","5496748","1",1.43651891460559,62,"2"
"23","5499000","0",1.62342304294349,54,"3"
"24","5499000","1",1.48945498979339,54,"3"
"25","5499152","0",1.51004152057517,42,"2"
"26","5499152","1",1.44611697335613,42,"2"
"27","5499730","0",1.6615435063954,43,"2"
"28","5499730","1",1.45099673797421,43,"2"
"29","5501417","0",1.43770713554353,44,"2"
"30","5501417","1",1.43651891460559,44,"2"
"31","5502940","0",1.34582345812204,69,"2"
"32","5502940","1",1.27984069659404,69,"2"
"33","5504684","0",1.51004152057517,45,"2"
"34","5504684","1",1.45345733652187,45,"2"
"35","5505997","0",1.45967052520913,34,"2"
"36","5505997","1",1.45469288353418,34,"2"
"37","5511369","0",1.46852108295774,42,"2"
"38","5511369","1",1.42365864979421,42,"2"
"39","5511959","0",1.49214412830417,45,"2"
"40","5511959","1",1.46218090492673,45,"2"
"41","5512597","0",1.51999305704285,49,"2"
"42","5512597","1",1.05700040663396,49,"2"
"43","5549866","0",1.76700388960785,21,"3"
"44","5549866","1",1.82102305270683,21,"3"
"45","5550506","0",1.56383735295924,22,"3"
"46","5550506","1",1.44855000202712,22,"3"
"47","5558701","0",1.80410034759077,21,"1"
"48","5558701","1",1.73282827159699,21,"1"
"49","5578336","0",2,20,"1"
"50","5578336","1",1.88605664769316,20,"1"
"51","5585374","0",1.37468754903833,21,"2"
"52","5585374","1",1.41005039867429,21,"2"
"53","5585959","0",1.46852108295774,23,"2"
"54","5585959","1",1.44855000202712,23,"2"
"55","5599806","0",1.42136079003193,22,"2"
"56","5599806","1",1.27901425584626,22,"2"
"57","5610774","0",1.42365864979421,22,"2"
"58","5610774","1",1.44249279809434,22,"2"
"59","5623534","0",2,20,"1"
"60","5623534","1",1.99139982823808,20,"1"
"61","5624292","0",1.64975198166584,20,"1"
"62","5624292","1",1.54515513999149,20,"1"
"63","5631005","0",1.73282827159699,49,"3"
"64","5631005","1",1.63827216398241,49,"3"
"65","5635923","0",2,20,"1"
"66","5635923","1",1.81815641205523,20,"1"
"67","5636687","0",1.99139982823808,20,"1"
"68","5636687","1",1.82681373158773,20,"1"
"69","5647580","0",1.89619627904404,20,"1"
"70","5647580","1",1.91364016932525,20,"1"
"71","5647903","0",2,21,"1"
"72","5647903","1",1.72353819582676,21,"1"
"73","5658031","0",1.73282827159699,21,"1"
"74","5658031","1",1.67778070526608,21,"1"
"75","5668370","0",1.82390874094432,23,"3"
"76","5668370","1",1.86327943284359,23,"3"
"77","5669715","0",1.6458915608526,21,"1"
"78","5669715","1",1.75202673363819,21,"1"
"79","5670717","0",1.90308998699194,21,"3"
"80","5670717","1",1.7851561519523,21,"3"
"81","5688378","0",1.73992861201493,56,"3"
"82","5688378","1",1.57186520597121,56,"3"
"83","5693459","0",1.89962945488244,21,"1"
"84","5693459","1",1.88941028970075,21,"1"
"85","5693659","0",2,20,"1"
"86","5693659","1",1.80410034759077,20,"1"
"87","5704264","0",1.96657624451305,21,"1"
"88","5704264","1",1.61798295742513,21,"1"
"89","5765743","0",2,20,"1"
"90","5765743","1",1.82390874094432,20,"1"
"91","5770699","0",1.67162039656126,22,"3"
"92","5770699","1",1.50307035192679,22,"3"
"93","5781722","0",1.80134291304558,22,"3"
"94","5781722","1",1.60730304674033,22,"3"
"95","5789390","0",2,21,"1"
"96","5789390","1",2,21,"1"
"97","5791526","0",1.69464863055338,20,"3"
"98","5791526","1",1.66958622665081,20,"3"
"99","5792031","0",1.80410034759077,24,"3"
"100","5792031","1",1.7851561519523,24,"3"
"101","5792635","0",1.57675412606319,21,"1"
"102","5792635","1",1.45469288353418,21,"1"
"103","5793287","0",1.96657624451305,21,"1"
"104","5793287","1",1.69250396208679,21,"1"
