Participant.Private.ID,condition,threshold
5297751,blur,0.10000000000000009
5297751,clear,-0.019999999999999796
5344588,blur,0
5344588,clear,-0.019999999999999796
5371387,blur,0.12
5371387,clear,0.020000000000000018
5372697,blur,-0.040000000000000036
5372697,clear,-0.019999999999999796
5384559,blur,0.020000000000000018
5384559,clear,-0.05999999999999983
5387392,blur,0.12
5387392,clear,0.12
5389013,blur,0.20000000000000007
5389013,clear,0
5410148,blur,0.30000000000000004
5410148,clear,0.040000000000000036
5410422,blur,-0.019999999999999796
5410422,clear,-0.019999999999999796
5418541,blur,-0.08000000000000007
5418541,clear,-0.08000000000000007
5496748,blur,0.16000000000000003
5496748,clear,0.040000000000000036
5499000,blur,0.06000000000000005
5499000,clear,0.10000000000000009
5499152,blur,-0.040000000000000036
5499152,clear,-0.040000000000000036
5499730,blur,0.040000000000000036
5499730,clear,-0.11999999999999988
5501417,blur,0.08000000000000007
5501417,clear,0.10000000000000009
5502940,blur,0.06000000000000005
5502940,clear,0.14000000000000012
5504684,blur,0.040000000000000036
5504684,clear,-0.11999999999999988
5505997,blur,0.18000000000000016
5505997,clear,0
5511369,blur,-0.040000000000000036
5511369,clear,-0.14000000000000012
5511959,blur,0.16000000000000003
5511959,clear,0.06000000000000005
5512597,blur,0.21999999999999997
5512597,clear,0
5549866,blur,0.10000000000000009
5549866,clear,0.040000000000000036
5550506,blur,0.12
5550506,clear,0.020000000000000018
5558701,blur,0.10000000000000009
5558701,clear,0.040000000000000036
5578336,blur,-0.019999999999999796
5578336,clear,-0.05999999999999983
5585374,blur,0.040000000000000036
5585374,clear,-0.019999999999999796
5585959,blur,0.12
5585959,clear,-0.10000000000000009
5599806,blur,0.14000000000000012
5599806,clear,0.08000000000000007
5610774,blur,0.040000000000000036
5610774,clear,0.12
5623534,blur,-0.040000000000000036
5623534,clear,0
5624292,blur,0.06000000000000005
5624292,clear,-0.040000000000000036
5631005,blur,0.020000000000000018
5631005,clear,-0.040000000000000036
5635923,blur,0
5635923,clear,-0.040000000000000036
5636687,blur,0
5636687,clear,-0.05999999999999983
5647580,blur,-0.08000000000000007
5647580,clear,-0.10000000000000009
5647903,blur,-0.019999999999999796
5647903,clear,-0.08000000000000007
5658031,blur,0.020000000000000018
5658031,clear,0.06000000000000005
5668370,blur,-0.040000000000000036
5668370,clear,-0.040000000000000036
5669715,blur,0.10000000000000009
5669715,clear,0.14000000000000012
5670717,blur,-0.05999999999999983
5670717,clear,-0.10000000000000009
5688378,blur,-0.040000000000000036
5688378,clear,-0.019999999999999796
5693459,blur,0.06000000000000005
5693459,clear,-0.019999999999999796
5693659,blur,-0.019999999999999796
5693659,clear,0.020000000000000018
5704264,blur,-0.019999999999999796
5704264,clear,-0.019999999999999796
5765743,blur,-0.040000000000000036
5765743,clear,-0.08000000000000007
5770699,blur,0.12
5770699,clear,-0.019999999999999796
5781722,blur,-0.019999999999999796
5781722,clear,0
5789390,blur,-0.040000000000000036
5789390,clear,-0.08000000000000007
5791526,blur,0.10000000000000009
5791526,clear,0.040000000000000036
5792031,blur,0.08000000000000007
5792031,clear,0.020000000000000018
5792635,blur,0.020000000000000018
5792635,clear,0.020000000000000018
5793287,blur,-0.08000000000000007
5793287,clear,-0.05999999999999983
