Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,Randomise questionnaire elements?,Question Key,Response
1,1643651084392,31/01/2022 17:44:44,1643651083812,0,31/01/2022 17:44:43,62188,20,questionnaire-dbtg,,19026388,BLIND,5635923,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1536x722,,Information sheet and consent ,2,178,No,BEGIN QUESTIONNAIRE,
2,1643651092370,31/01/2022 17:44:52,1643651091811,0,31/01/2022 17:44:51,62188,20,questionnaire-dbtg,,19026388,BLIND,5635923,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1519x722,,Information sheet and consent ,2,178,No,END QUESTIONNAIRE,7999
1,1644174717884,06/02/2022 19:11:57,1644174716975,0,06/02/2022 19:11:56,62188,20,questionnaire-dbtg,,19217969,BLIND,5693659,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1536x722,,Information sheet and consent ,2,157,No,BEGIN QUESTIONNAIRE,
2,1644174724283,06/02/2022 19:12:04,1644174723417,0,06/02/2022 19:12:03,62188,20,questionnaire-dbtg,,19217969,BLIND,5693659,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1519x722,,Information sheet and consent ,2,157,No,END QUESTIONNAIRE,6442
1,1644844587176,14/02/2022 13:16:27,1644844586488,0,14/02/2022 13:16:26,62188,20,questionnaire-dbtg,,19425107,BLIND,5765743,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1536x722,,Information sheet and consent ,2,173,No,BEGIN QUESTIONNAIRE,
2,1644844592084,14/02/2022 13:16:32,1644844591438,0,14/02/2022 13:16:31,62188,20,questionnaire-dbtg,,19425107,BLIND,5765743,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x722,,Information sheet and consent ,2,173,No,END QUESTIONNAIRE,4950
1,1645041455865,16/02/2022 19:57:35,1645041455515,0,16/02/2022 19:57:35,62188,20,questionnaire-dbtg,,19509465,BLIND,5791526,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x821,,Information sheet and consent ,2,188,No,BEGIN QUESTIONNAIRE,
2,1645041489331,16/02/2022 19:58:09,1645041489077,0,16/02/2022 19:58:09,62188,20,questionnaire-dbtg,,19509465,BLIND,5791526,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x821,,Information sheet and consent ,2,188,No,END QUESTIONNAIRE,33562
1,1645044078322,16/02/2022 20:41:18,1645044078018,0,16/02/2022 20:41:18,62188,20,questionnaire-dbtg,,19512726,BLIND,5792031,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x821,,Information sheet and consent ,2,188,No,BEGIN QUESTIONNAIRE,
2,1645044085407,16/02/2022 20:41:25,1645044085128,0,16/02/2022 20:41:25,62188,20,questionnaire-dbtg,,19512726,BLIND,5792031,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x821,,Information sheet and consent ,2,188,No,END QUESTIONNAIRE,7110
1,1645047361714,16/02/2022 21:36:01,1645047360529,0,16/02/2022 21:36:00,62188,20,questionnaire-dbtg,,19516219,BLIND,5792635,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1536x722,,Information sheet and consent ,2,183,No,BEGIN QUESTIONNAIRE,
2,1645047364672,16/02/2022 21:36:04,1645047363519,0,16/02/2022 21:36:03,62188,20,questionnaire-dbtg,,19516219,BLIND,5792635,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x722,,Information sheet and consent ,2,183,No,END QUESTIONNAIRE,2990
1,1645051936739,16/02/2022 22:52:16,1645051935511,0,16/02/2022 22:52:15,62188,20,questionnaire-dbtg,,19518847,BLIND,5793287,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1536x722,,Information sheet and consent ,2,178,No,BEGIN QUESTIONNAIRE,
2,1645051943767,16/02/2022 22:52:23,1645051942594,0,16/02/2022 22:52:22,62188,20,questionnaire-dbtg,,19518847,BLIND,5793287,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x722,,Information sheet and consent ,2,178,No,END QUESTIONNAIRE,7084
1,1645028757424,16/02/2022 16:25:57,1645028756337,0,16/02/2022 16:25:56,62188,20,questionnaire-dbtg,,19501358,BLIND,5789390,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1536x722,,Information sheet and consent ,2,168,No,BEGIN QUESTIONNAIRE,
2,1645028759879,16/02/2022 16:25:59,1645028758817,0,16/02/2022 16:25:58,62188,20,questionnaire-dbtg,,19501358,BLIND,5789390,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x722,,Information sheet and consent ,2,168,No,END QUESTIONNAIRE,2480
1,1644955216293,15/02/2022 20:00:16,1644955216151,0,15/02/2022 20:00:16,62188,20,questionnaire-dbtg,,19476044,BLIND,5781722,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x821,,Information sheet and consent ,2,152,No,BEGIN QUESTIONNAIRE,
2,1644955220262,15/02/2022 20:00:20,1644955220145,0,15/02/2022 20:00:20,62188,20,questionnaire-dbtg,,19476044,BLIND,5781722,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x821,,Information sheet and consent ,2,152,No,END QUESTIONNAIRE,3994
1,1644871166152,14/02/2022 20:39:26,1644871166043,0,14/02/2022 20:39:26,62188,20,questionnaire-dbtg,,19443933,BLIND,5770699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x821,,Information sheet and consent ,2,173,No,BEGIN QUESTIONNAIRE,
2,1644871173236,14/02/2022 20:39:33,1644871173141,0,14/02/2022 20:39:33,62188,20,questionnaire-dbtg,,19443933,BLIND,5770699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x821,,Information sheet and consent ,2,173,No,END QUESTIONNAIRE,7098
1,1644356109303,08/02/2022 21:35:09,1644356110132,0,08/02/2022 21:35:10,62188,20,questionnaire-dbtg,,19291275,BLIND,5722070,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1536x722,,Information sheet and consent ,2,173,No,BEGIN QUESTIONNAIRE,
2,1644356114349,08/02/2022 21:35:14,1644356115182,0,08/02/2022 21:35:15,62188,20,questionnaire-dbtg,,19291275,BLIND,5722070,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1519x722,,Information sheet and consent ,2,173,No,END QUESTIONNAIRE,5050
1,1644260181846,07/02/2022 18:56:21,1644260181714,0,07/02/2022 18:56:21,62188,20,questionnaire-dbtg,,19251697,BLIND,5704264,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1536x722,,Information sheet and consent ,2,193,No,BEGIN QUESTIONNAIRE,
