Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,Randomise questionnaire elements?,Question Key,Response
1,1640198687216,22/12/2021 18:44:47,1640198686228,0,22/12/2021 18:44:46,62188,20,questionnaire-e2l7,,18187739,BLIND,5372572,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1280x720,1280x609,,Demographics,2,178,No,BEGIN QUESTIONNAIRE,
2,1640198766939,22/12/2021 18:46:06,1640198765995,0,22/12/2021 18:46:05,62188,20,questionnaire-e2l7,,18187739,BLIND,5372572,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1280x720,1263x609,,Demographics,2,178,No,sex,Male
3,1640198766998,22/12/2021 18:46:06,1640198765997,0,22/12/2021 18:46:05,62188,20,questionnaire-e2l7,,18187739,BLIND,5372572,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1280x720,1263x609,,Demographics,2,178,No,sex-quantised,2
4,1640198766998,22/12/2021 18:46:06,1640198765997,0,22/12/2021 18:46:05,62188,20,questionnaire-e2l7,,18187739,BLIND,5372572,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1280x720,1263x609,,Demographics,2,178,No,height,"5'9"" - 5'10"""
5,1640198766998,22/12/2021 18:46:06,1640198765997,0,22/12/2021 18:46:05,62188,20,questionnaire-e2l7,,18187739,BLIND,5372572,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1280x720,1263x609,,Demographics,2,178,No,height-quantised,6
6,1640198766998,22/12/2021 18:46:06,1640198765997,0,22/12/2021 18:46:05,62188,20,questionnaire-e2l7,,18187739,BLIND,5372572,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1280x720,1263x609,,Demographics,2,178,No,weight-unit,imperial
7,1640198766998,22/12/2021 18:46:06,1640198765998,0,22/12/2021 18:46:05,62188,20,questionnaire-e2l7,,18187739,BLIND,5372572,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1280x720,1263x609,,Demographics,2,178,No,weight-first,14
8,1640198766998,22/12/2021 18:46:06,1640198765998,0,22/12/2021 18:46:05,62188,20,questionnaire-e2l7,,18187739,BLIND,5372572,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1280x720,1263x609,,Demographics,2,178,No,weight-second,6
9,1640198766998,22/12/2021 18:46:06,1640198765998,0,22/12/2021 18:46:05,62188,20,questionnaire-e2l7,,18187739,BLIND,5372572,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1280x720,1263x609,,Demographics,2,178,No,age_in_years ,58
10,1640198766998,22/12/2021 18:46:06,1640198765998,0,22/12/2021 18:46:05,62188,20,questionnaire-e2l7,,18187739,BLIND,5372572,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1280x720,1263x609,,Demographics,2,178,No,education ,Vocational qualification (GNVQ or BTEC)
11,1640198766998,22/12/2021 18:46:06,1640198765998,0,22/12/2021 18:46:05,62188,20,questionnaire-e2l7,,18187739,BLIND,5372572,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1280x720,1263x609,,Demographics,2,178,No,education -quantised,3
12,1640198766998,22/12/2021 18:46:06,1640198765998,0,22/12/2021 18:46:05,62188,20,questionnaire-e2l7,,18187739,BLIND,5372572,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1280x720,1263x609,,Demographics,2,178,No,education -text,
13,1640198766998,22/12/2021 18:46:06,1640198765999,0,22/12/2021 18:46:05,62188,20,questionnaire-e2l7,,18187739,BLIND,5372572,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1280x720,1263x609,,Demographics,2,178,No,Handedness,Right
14,1640198766998,22/12/2021 18:46:06,1640198765999,0,22/12/2021 18:46:05,62188,20,questionnaire-e2l7,,18187739,BLIND,5372572,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1280x720,1263x609,,Demographics,2,178,No,Handedness-quantised,2
15,1640198766998,22/12/2021 18:46:06,1640198765999,0,22/12/2021 18:46:05,62188,20,questionnaire-e2l7,,18187739,BLIND,5372572,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1280x720,1263x609,,Demographics,2,178,No,medical_condition_motor-1,No
16,1640198766998,22/12/2021 18:46:06,1640198765999,0,22/12/2021 18:46:05,62188,20,questionnaire-e2l7,,18187739,BLIND,5372572,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1280x720,1263x609,,Demographics,2,178,No,medical_condition_motor-text,
17,1640198766998,22/12/2021 18:46:06,1640198765999,0,22/12/2021 18:46:05,62188,20,questionnaire-e2l7,,18187739,BLIND,5372572,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1280x720,1263x609,,Demographics,2,178,No,medical_condition_vision-1,No
18,1640198766998,22/12/2021 18:46:06,1640198765999,0,22/12/2021 18:46:05,62188,20,questionnaire-e2l7,,18187739,BLIND,5372572,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1280x720,1263x609,,Demographics,2,178,No,medical_condition_vision-text,
19,1640198766998,22/12/2021 18:46:06,1640198765999,0,22/12/2021 18:46:05,62188,20,questionnaire-e2l7,,18187739,BLIND,5372572,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1280x720,1263x609,,Demographics,2,178,No,cataract_predictors-1,No
20,1640198766998,22/12/2021 18:46:06,1640198766000,0,22/12/2021 18:46:06,62188,20,questionnaire-e2l7,,18187739,BLIND,5372572,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1280x720,1263x609,,Demographics,2,178,No,carer,No
21,1640198766998,22/12/2021 18:46:06,1640198766001,0,22/12/2021 18:46:06,62188,20,questionnaire-e2l7,,18187739,BLIND,5372572,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1280x720,1263x609,,Demographics,2,178,No,carer-quantised,2
22,1640198766998,22/12/2021 18:46:06,1640198766001,0,22/12/2021 18:46:06,62188,20,questionnaire-e2l7,,18187739,BLIND,5372572,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1280x720,1263x609,,Demographics,2,178,No,carer_completing_onbehalf,N/A
23,1640198767048,22/12/2021 18:46:07,1640198766001,0,22/12/2021 18:46:06,62188,20,questionnaire-e2l7,,18187739,BLIND,5372572,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1280x720,1263x609,,Demographics,2,178,No,carer_completing_onbehalf-quantised,3
24,1640198767048,22/12/2021 18:46:07,1640198766001,0,22/12/2021 18:46:06,62188,20,questionnaire-e2l7,,18187739,BLIND,5372572,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1280x720,1263x609,,Demographics,2,178,No,END QUESTIONNAIRE,79773
1,1640780262204,29/12/2021 12:17:42,1640780261462,0,29/12/2021 12:17:41,62188,20,questionnaire-e2l7,,18235299,BLIND,5387392,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.110,1536x864,1536x722,,Demographics,2,178,No,BEGIN QUESTIONNAIRE,
2,1640780385753,29/12/2021 12:19:45,1640780385107,0,29/12/2021 12:19:45,62188,20,questionnaire-e2l7,,18235299,BLIND,5387392,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.110,1536x864,1519x722,,Demographics,2,178,No,sex,Male
3,1640780385851,29/12/2021 12:19:45,1640780385112,0,29/12/2021 12:19:45,62188,20,questionnaire-e2l7,,18235299,BLIND,5387392,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.110,1536x864,1519x722,,Demographics,2,178,No,sex-quantised,2
