Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,Randomise questionnaire elements?
1,1.64071E+12,28/12/2021 18:09,1.64071E+12,0,28/12/2021 18:09,62188,20,questionnaire-mq5s,,18230273,BLIND,5384850,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 96.0.4664.110,1440x900,1440x727,,Debrief,6,168,No
2,1.64072E+12,28/12/2021 18:10,1.64072E+12,0,28/12/2021 18:10,62188,20,questionnaire-mq5s,,18230273,BLIND,5384850,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 96.0.4664.110,1440x900,1425x727,,Debrief,6,168,No
3,1.64072E+12,28/12/2021 18:10,1.64072E+12,0,28/12/2021 18:10,62188,20,questionnaire-mq5s,,18230273,BLIND,5384850,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 96.0.4664.110,1440x900,1425x727,,Debrief,6,168,No
1,1.64253E+12,18/01/2022 18:19,1.64253E+12,0,18/01/2022 18:19,62188,20,questionnaire-mq5s,,18609241,BLIND,5508881,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Debrief,6,183,No
2,1.64253E+12,18/01/2022 18:21,1.64253E+12,0,18/01/2022 18:21,62188,20,questionnaire-mq5s,,18609241,BLIND,5508881,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1263x720,,Debrief,6,183,No
3,1.64253E+12,18/01/2022 18:21,1.64253E+12,0,18/01/2022 18:21,62188,20,questionnaire-mq5s,,18609241,BLIND,5508881,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1263x720,,Debrief,6,183,No
1,1.64323E+12,26/01/2022 19:38,1.64323E+12,0,26/01/2022 19:38,62188,20,questionnaire-mq5s,,18908715,BLIND,5599806,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.69,1280x720,1280x720,,Debrief,6,183,No
2,1.64323E+12,26/01/2022 19:39,1.64323E+12,0,26/01/2022 19:39,62188,20,questionnaire-mq5s,,18908715,BLIND,5599806,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.69,1280x720,1263x720,,Debrief,6,183,No
3,1.64323E+12,26/01/2022 19:39,1.64323E+12,0,26/01/2022 19:39,62188,20,questionnaire-mq5s,,18908715,BLIND,5599806,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.69,1280x720,1263x720,,Debrief,6,183,No
1,1.64383E+12,02/02/2022 20:28,1.64383E+12,0,02/02/2022 20:28,62188,20,questionnaire-mq5s,,19106375,BLIND,5658787,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x821,,Debrief,6,173,No
