Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER
1,1642516474482,18/01/2022 14:34:34,1642516473789,0,18/01/2022 14:34:33,62188,20,task-9sft,,18597396,BLIND,5505997,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Eye dominance,3,178,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1642516497519,18/01/2022 14:34:57,1642516497432,0,18/01/2022 14:34:57,62188,20,task-9sft,,18597396,BLIND,5505997,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Eye dominance,3,178,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,23589.399999976158,,,,,0,1,0,,,,,,intro,
3,1642516529312,18/01/2022 14:35:29,1642516529236,0,18/01/2022 14:35:29,62188,20,task-9sft,,18597396,BLIND,5505997,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Eye dominance,3,178,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone2,continue_button,31775.5,,,,,0,1,0,,,,,,video,
4,1642516614919,18/01/2022 14:36:54,1642516614777,0,18/01/2022 14:36:54,62188,20,task-9sft,,18597396,BLIND,5505997,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Eye dominance,3,178,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,85518.29999995232,,,,,0,1,0,,,,,,instructions,
5,1642516619685,18/01/2022 14:36:59,1642516619613,0,18/01/2022 14:36:59,62188,20,task-9sft,,18597396,BLIND,5505997,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Eye dominance,3,178,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,buttonB,response_button_text,4822.200000047684,,,Right,1,0,1,0,,,,,,response,
6,1642516619760,18/01/2022 14:36:59,1642516619615,0,18/01/2022 14:36:59,62188,20,task-9sft,,18597396,BLIND,5505997,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Eye dominance,3,178,Spreadsheet1,,,END TASK,,,,,145826,,,,,0,1,0,,,,,,,
1,1643651168806,31/01/2022 17:46:08,1643651168230,0,31/01/2022 17:46:08,62188,20,task-9sft,,19026458,BLIND,5635923,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1536x722,,Eye dominance,3,178,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1643651171249,31/01/2022 17:46:11,1643651170696,0,31/01/2022 17:46:10,62188,20,task-9sft,,19026458,BLIND,5635923,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1519x722,,Eye dominance,3,178,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,2329.7000000476837,,,,,0,1,0,,,,,,intro,
3,1643651229832,31/01/2022 17:47:09,1643651229275,0,31/01/2022 17:47:09,62188,20,task-9sft,,19026458,BLIND,5635923,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1519x722,,Eye dominance,3,178,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone2,continue_button,58542.5,,,,,0,1,0,,,,,,video,
4,1643651232916,31/01/2022 17:47:12,1643651232376,0,31/01/2022 17:47:12,62188,20,task-9sft,,19026458,BLIND,5635923,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1519x722,,Eye dominance,3,178,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,3071.5,,,,,0,1,0,,,,,,instructions,
5,1643651235840,31/01/2022 17:47:15,1643651235292,0,31/01/2022 17:47:15,62188,20,task-9sft,,19026458,BLIND,5635923,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1519x722,,Eye dominance,3,178,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,buttonB,response_button_text,2886.7000000476837,,,Right,1,0,1,0,,,,,,response,
6,1643651235902,31/01/2022 17:47:15,1643651235297,0,31/01/2022 17:47:15,62188,20,task-9sft,,19026458,BLIND,5635923,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1519x722,,Eye dominance,3,178,Spreadsheet1,,,END TASK,,,,,67067,,,,,0,1,0,,,,,,,
1,1643831725083,02/02/2022 19:55:25,1643831724972,0,02/02/2022 19:55:24,62188,20,task-9sft,,19105481,BLIND,5658787,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x821,,Eye dominance,3,173,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1643831740542,02/02/2022 19:55:40,1643831740479,0,02/02/2022 19:55:40,62188,20,task-9sft,,19105481,BLIND,5658787,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x821,,Eye dominance,3,173,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,15462.60000000894,,,,,0,1,0,,,,,,intro,
3,1643831777814,02/02/2022 19:56:17,1643831777756,0,02/02/2022 19:56:17,62188,20,task-9sft,,19105481,BLIND,5658787,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x821,,Eye dominance,3,173,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone2,continue_button,37257.79999999702,,,,,0,1,0,,,,,,video,
4,1643831788328,02/02/2022 19:56:28,1643831788263,0,02/02/2022 19:56:28,62188,20,task-9sft,,19105481,BLIND,5658787,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x821,,Eye dominance,3,173,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,10496.09999999404,,,,,0,1,0,,,,,,instructions,
5,1643831791067,02/02/2022 19:56:31,1643831790995,0,02/02/2022 19:56:30,62188,20,task-9sft,,19105481,BLIND,5658787,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x821,,Eye dominance,3,173,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,buttonA,response_button_text,2718.6000000089407,,,Left,1,0,1,0,,,,,,response,
6,1643831791152,02/02/2022 19:56:31,1643831790999,0,02/02/2022 19:56:30,62188,20,task-9sft,,19105481,BLIND,5658787,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x821,,Eye dominance,3,173,Spreadsheet1,,,END TASK,,,,,66027,,,,,0,1,0,,,,,,,
1,1643906878505,03/02/2022 16:47:58,1643906878363,0,03/02/2022 16:47:58,62188,20,task-9sft,,19139240,BLIND,5670717,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x821,,Eye dominance,3,168,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1643906882772,03/02/2022 16:48:02,1643906882646,0,03/02/2022 16:48:02,62188,20,task-9sft,,19139240,BLIND,5670717,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x821,,Eye dominance,3,168,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,4231.200000017881,,,,,0,1,0,,,,,,intro,
3,1643906914319,03/02/2022 16:48:34,1643906914222,0,03/02/2022 16:48:34,62188,20,task-9sft,,19139240,BLIND,5670717,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x821,,Eye dominance,3,168,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone2,continue_button,31560.90000000596,,,,,0,1,0,,,,,,video,
4,1643906916289,03/02/2022 16:48:36,1643906916180,0,03/02/2022 16:48:36,62188,20,task-9sft,,19139240,BLIND,5670717,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x821,,Eye dominance,3,168,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,1935.5999999940395,,,,,0,1,0,,,,,,instructions,
5,1643906919441,03/02/2022 16:48:39,1643906919341,0,03/02/2022 16:48:39,62188,20,task-9sft,,19139240,BLIND,5670717,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x821,,Eye dominance,3,168,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,buttonB,response_button_text,3146.7000000178814,,,Right,1,0,1,0,,,,,,response,
6,1643906919495,03/02/2022 16:48:39,1643906919344,0,03/02/2022 16:48:39,62188,20,task-9sft,,19139240,BLIND,5670717,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x821,,Eye dominance,3,168,Spreadsheet1,,,END TASK,,,,,40981,,,,,0,1,0,,,,,,,
1,1644174758434,06/02/2022 19:12:38,1644174757540,0,06/02/2022 19:12:37,62188,20,task-9sft,,19217980,BLIND,5693659,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1536x722,,Eye dominance,3,157,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1644174809949,06/02/2022 19:13:29,1644174809069,0,06/02/2022 19:13:29,62188,20,task-9sft,,19217980,BLIND,5693659,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1519x722,,Eye dominance,3,157,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,51493.30000001192,,,,,0,1,0,,,,,,intro,
3,1644174811829,06/02/2022 19:13:31,1644174810967,0,06/02/2022 19:13:30,62188,20,task-9sft,,19217980,BLIND,5693659,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1519x722,,Eye dominance,3,157,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone2,continue_button,1886.8999999761581,,,,,0,1,0,,,,,,video,
4,1644174813453,06/02/2022 19:13:33,1644174812606,0,06/02/2022 19:13:32,62188,20,task-9sft,,19217980,BLIND,5693659,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1519x722,,Eye dominance,3,157,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,1628.699999988079,,,,,0,1,0,,,,,,instructions,
5,1644174814975,06/02/2022 19:13:34,1644174814127,0,06/02/2022 19:13:34,62188,20,task-9sft,,19217980,BLIND,5693659,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1519x722,,Eye dominance,3,157,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,buttonB,response_button_text,1509.199999988079,,,Right,1,0,1,0,,,,,,response,
6,1644174815073,06/02/2022 19:13:35,1644174814130,0,06/02/2022 19:13:34,62188,20,task-9sft,,19217980,BLIND,5693659,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1519x722,,Eye dominance,3,157,Spreadsheet1,,,END TASK,,,,,56591,,,,,0,1,0,,,,,,,
1,1644871257711,14/02/2022 20:40:57,1644871257602,0,14/02/2022 20:40:57,62188,20,task-9sft,,19443999,BLIND,5770699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x821,,Eye dominance,3,173,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
