"","video","clearMeanError","blurMeanError"
"1","0.mp4",10.25,81
"2","0right.mp4",8,37.75
"3","12.mp4",31.5,66.5
"4","12right.mp4",20.75,78.5
"5","16.mp4",32.5,51.5
"6","16right.mp4",30.25,105.75
"7","20.mp4",51,56.25
"8","20right.mp4",29,50.5
"9","4.mp4",17.25,59.5
"10","4right.mp4",3.75,49.5
"11","50_0.mp4",10.75,63.25
"12","50_0right.mp4",14.25,45.25
"13","50_12.mp4",36.25,60.5
"14","50_12right.mp4",14.5,62.25
"15","50_16.mp4",51.75,70
"16","50_16right.mp4",22.75,96.25
"17","50_20.mp4",59,63.25
"18","50_20right.mp4",38.25,53.25
"19","50_4.mp4",21.25,34.25
"20","50_4right.mp4",14,54.25
"21","50_8.mp4",25.75,86
"22","50_8right.mp4",9,80.25
"23","8.mp4",22.5,56
"24","8right.mp4",14.5,58.25
"25","90_0.mp4",22,74.25
"26","90_0right.mp4",37,57.75
"27","90_12.mp4",26.75,54.25
"28","90_12right.mp4",22.5,97
"29","90_16.mp4",44.5,48
"30","90_16right.mp4",8.5,20.25
"31","90_20.mp4",52.25,79.75
"32","90_20right.mp4",36.75,70.75
"33","90_4.mp4",23.75,58.5
"34","90_4right.mp4",10.5,60.75
"35","90_8.mp4",32.75,54
"36","90_8right.mp4",22,69.5
